Region,Total Expenditure,Change,Per Capita,GDP Share
Baden-Württemberg,55715,5.9,5019,11
Bayern,68696.4,5.8,5231,11
Berlin,20026.2,7.7,5461,13
Brandenburg,14302.7,6.6,5661,19
Bremen,3267,7.1,4800,10.1
Hamburg,9881.6,8.4,5342,8.4
Hessen,33641.9,6.1,5348,11.8
Mecklenburg-Vorpommern,8819.4,6.5,5480,18.8
Niedersachsen,41865.9,5.9,5234,13.9
Nordrhein-Westfalen,97092.5,7.2,5413,14
Rheinland-Pfalz,21698.3,5.8,5297,15.1
Saarland,5435.3,6.1,5516,15.9
Sachsen,21008.9,6.7,5169,16.5
Sachsen-Anhalt,12125.4,6.6,5542,19.1
Schleswig-Holstein,15557.1,6.3,5351,15.8
Thüringen,11443.5,6.9,5381,18.4
Deutschland,440577,6.5,5298,13.1
