,state,parlimen,party,voters
0,Selangor,P.102 Bangi,PAKATAN HARAPAN (PH),303430
1,Selangor,P.111 Kota Raja,PAKATAN HARAPAN (PH),244712
2,Selangor,P.106 Damansara,PAKATAN HARAPAN (PH),239103
3,Selangor,P.104 Subang,PAKATAN HARAPAN (PH),230940
4,Johor,P.158 Tebrau,PAKATAN HARAPAN (PH),223301
5,Johor,P.162 Iskandar Puteri,PAKATAN HARAPAN (PH),222437
6,Selangor,P.110 Klang,PAKATAN HARAPAN (PH),208913
7,Selangor,P.098 Gombak,PAKATAN HARAPAN (PH),206744
8,Johor,P.159 Pasir Gudang,PAKATAN HARAPAN (PH),198485
9,Selangor,P.105 Petaling Jaya,PAKATAN HARAPAN (PH),195148
10,Selangor,P.109 Kapar,PERIKATAN NASIONAL (PN),189369
11,Selangor,P.097 Selayang,PAKATAN HARAPAN (PH),181539
12,Kedah,P.015 Sungai Petani,PAKATAN HARAPAN (PH),168847
13,Selangor,P.113 Sepang,PAKATAN HARAPAN (PH),168039
14,Selangor,P.101 Hulu Langat,PAKATAN HARAPAN (PH),166902
15,Selangor,P.108 Shah Alam,PAKATAN HARAPAN (PH),165744
16,Johor,P.161 Pulai,PAKATAN HARAPAN (PH),165313
17,Melaka,P.138 Kota Melaka,PAKATAN HARAPAN (PH),164140
18,Perak,P.063 Tambun,PAKATAN HARAPAN (PH),160558
19,Selangor,P.107 Sungai Buloh,PAKATAN HARAPAN (PH),158090
20,Negeri Sembilan,P.128 Seremban,PAKATAN HARAPAN (PH),157244
21,Negeri Sembilan,P.130 Rasah,PAKATAN HARAPAN (PH),155896
22,Selangor,P.094 Hulu Selangor,PERIKATAN NASIONAL (PN),154317
23,Selangor,P.103 Puchong,PAKATAN HARAPAN (PH),152861
24,Johor,P.163 Kulai,PAKATAN HARAPAN (PH),151247
25,Kelantan,P.019 Tumpat,PERIKATAN NASIONAL (PN),149371
26,Selangor,P.100 Pandan,PAKATAN HARAPAN (PH),148730
27,Selangor,P.112 Kuala Langat,PERIKATAN NASIONAL (PN),148637
28,Perak,P.071 Gopeng,PAKATAN HARAPAN (PH),143657
29,Sarawak,P.219 Miri,PAKATAN HARAPAN (PH),143229
30,Terengganu,P.040 Kemaman,PERIKATAN NASIONAL (PN),139423
31,Johor,P.160 Johor Bahru,PAKATAN HARAPAN (PH),136368
32,Johor,P.150 Batu Pahat,PAKATAN HARAPAN (PH),133910
33,Kedah,P.017 Padang Serai,PERIKATAN NASIONAL (PN),133867
34,Negeri Sembilan,P.131 Rembau,BARISAN NASIONAL (BN),133555
35,Selangor,P.099 Ampang,PAKATAN HARAPAN (PH),133494
36,Kedah,P.010 Kuala Kedah,PERIKATAN NASIONAL (PN),132500
37,Kedah,P.014 Merbok,PERIKATAN NASIONAL (PN),132444
38,Johor,P.152 Kluang,PAKATAN HARAPAN (PH),132342
39,Kedah,P.016 Baling,PERIKATAN NASIONAL (PN),132099
40,Terengganu,P.037 Marang,PERIKATAN NASIONAL (PN),131756
41,W.P. Kuala Lumpur,P.122 Seputeh,PAKATAN HARAPAN (PH),124805
42,Terengganu,P.036 Kuala Terengganu,PERIKATAN NASIONAL (PN),123305
43,Kelantan,P.025 Bachok,PERIKATAN NASIONAL (PN),123183
44,Perak,P.060 Taiping,PAKATAN HARAPAN (PH),121566
45,Sarawak,P.196 Stampin,PAKATAN HARAPAN (PH),121009
46,Pulau Pinang,P.045 Bukit Mertajam,PAKATAN HARAPAN (PH),120819
47,Pahang,P.082 Indera Mahkota,PERIKATAN NASIONAL (PN),120549
48,W.P. Kuala Lumpur,P.116 Wangsa Maju,PAKATAN HARAPAN (PH),120323
49,W.P. Kuala Lumpur,P.117 Segambut,PAKATAN HARAPAN (PH),119652
50,Pulau Pinang,P.052 Bayan Baru,PAKATAN HARAPAN (PH),119640
51,Pahang,P.085 Pekan,BARISAN NASIONAL (BN),119443
52,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,PAKATAN HARAPAN (PH),119185
53,Melaka,P.137 Hang Tuah Jaya,PAKATAN HARAPAN (PH),118493
54,Perak,P.064 Ipoh Timor,PAKATAN HARAPAN (PH),118178
55,Pulau Pinang,P.051 Bukit Gelugor,PAKATAN HARAPAN (PH),117134
56,Melaka,P.136 Tangga Batu,PERIKATAN NASIONAL (PN),115998
57,Terengganu,P.039 Dungun,PERIKATAN NASIONAL (PN),115559
